0,0.234,-0.115,0.045
0.05,0.234,0.015,0.065
0.1,0.234,0.045,0.065
0.15,0.234,0.045,0.085
0.2,0.234,0.055,0.105
0.25,0.234,0.055,0.105
0.3,0.234,0.065,0.105
0.35,0.234,0.065,0.105
0.4,0.234,0.075,0.105
0.45,0.234,0.065,0.105
0.5,0.234,0.055,0.115
0.55,0.234,0.065,0.115
0.6,0.234,0.065,0.115
0.65,0.244,0.075,0.115
0.7,0.234,0.075,0.115
0.75,0.244,0.075,0.115
0.8,0.234,0.075,0.115
0.85,0.234,0.065,0.115
0.9,0.234,0.075,0.115
0.95,0.244,0.065,0.125
1,0.234,0.065,0.125
1.05,0.244,0.075,0.135
1.1,0.234,0.075,0.145
1.15,0.244,0.065,0.145
1.2,0.244,0.075,0.145
1.25,0.244,0.075,0.135
1.3,0.244,0.075,0.145
1.35,0.244,0.075,0.145
1.4,0.254,0.075,0.145
1.45,0.254,0.075,0.145
1.5,0.254,0.075,0.145
1.55,0.254,0.075,0.145
1.6,0.254,0.075,0.145
1.65,0.254,0.075,0.145
1.7,0.254,0.075,0.145
1.75,0.264,0.075,0.145
1.8,0.264,0.075,0.145
1.85,0.274,0.075,0.145
1.9,0.264,0.085,0.145
1.95,0.264,0.075,0.155
2,0.264,0.045,0.155
2.05,0.264,0.075,0.145
2.1,0.274,0.065,0.155
2.15,0.274,0.075,0.155
2.2,0.284,0.075,0.155
2.25,0.284,0.075,0.155
2.3,0.294,0.075,0.155
2.35,0.304,0.085,0.155
2.4,0.294,0.095,0.155
2.45,0.304,0.105,0.165
2.5,0.304,0.105,0.165
2.55,0.314,0.115,0.165
2.6,0.314,0.095,0.175
2.65,0.324,0.135,0.175
2.7,0.324,0.175,0.175
2.75,0.324,0.205,0.185
2.8,0.324,0.235,0.185
2.85,0.334,0.305,0.175
2.9,0.374,0.325,0.175
2.95,0.394,0.335,0.175
3,0.404,0.335,0.165
3.05,0.424,0.335,0.165
3.1,0.444,0.335,0.175
3.15,0.444,0.335,0.175
3.2,0.434,0.335,0.165
3.25,0.434,0.345,0.175
3.3,0.424,0.335,0.175
3.35,0.424,0.345,0.175
3.4,0.424,0.335,0.175
3.45,0.424,0.355,0.185
3.5,0.424,0.345,0.195
3.55,0.424,0.355,0.225
3.6,0.424,0.355,0.255
3.65,0.434,0.355,0.265
3.7,0.444,0.355,0.285
3.75,0.454,0.355,0.285
3.8,0.474,0.365,0.285
3.85,0.484,0.365,0.295
3.9,0.484,0.365,0.295
3.95,0.494,0.365,0.295
4,0.494,0.355,0.295
4.05,0.494,0.355,0.295
4.1,0.494,0.355,0.295
4.15,0.494,0.355,0.305
4.2,0.484,0.365,0.305
4.25,0.494,0.355,0.305
4.3,0.494,0.365,0.305
4.35,0.504,0.355,0.315
4.4,0.494,0.365,0.315
4.45,0.504,0.365,0.335
4.5,0.504,0.375,0.355
4.55,0.504,0.365,0.375
4.6,0.504,0.375,0.375
4.65,0.514,0.385,0.375
4.7,0.514,0.395,0.375
4.75,0.514,0.415,0.365
4.8,0.514,0.425,0.355
4.85,0.514,0.455,0.355
4.9,0.514,0.455,0.355
4.95,0.514,0.465,0.355
5,0.514,0.465,0.355
5.05,0.514,0.465,0.355
5.1,0.514,0.475,0.355
5.15,0.514,0.485,0.365
5.2,0.504,0.495,0.375
5.25,0.504,0.495,0.385
5.3,0.504,0.495,0.385
5.35,0.494,0.495,0.385
5.4,0.484,0.495,0.385
5.45,0.484,0.495,0.385
5.5,0.484,0.495,0.385
5.55,0.484,0.505,0.385
5.6,0.474,0.505,0.395
5.65,0.474,0.495,0.385
5.7,0.464,0.495,0.395
5.75,0.464,0.505,0.385
5.8,0.454,0.495,0.405
5.85,0.454,0.495,0.395
5.9,0.444,0.495,0.395
5.95,0.434,0.485,0.395
6,0.434,0.475,0.395
6.05,0.434,0.465,0.405
6.1,0.424,0.455,0.405
6.15,0.424,0.455,0.405
6.2,0.424,0.445,0.405
6.25,0.424,0.435,0.405
6.3,0.424,0.435,0.395
6.35,0.424,0.425,0.395
6.4,0.414,0.425,0.395
6.45,0.424,0.425,0.395
6.5,0.424,0.415,0.385
6.55,0.424,0.405,0.385
6.6,0.424,0.405,0.385
6.65,0.424,0.395,0.375
6.7,0.424,0.385,0.375
6.75,0.424,0.375,0.375
6.8,0.414,0.395,0.375
6.85,0.414,0.365,0.375
6.9,0.404,0.345,0.375
6.95,0.404,0.335,0.365
7,0.404,0.305,0.365
7.05,0.404,0.285,0.365
7.1,0.404,0.275,0.365
7.15,0.424,0.265,0.365
7.2,0.424,0.265,0.365
7.25,0.424,0.275,0.365
7.3,0.424,0.285,0.355
7.35,0.434,0.265,0.355
7.4,0.434,0.275,0.355
7.45,0.434,0.275,0.355
7.5,0.424,0.275,0.355
7.55,0.414,0.275,0.345
7.6,0.404,0.295,0.345
7.65,0.394,0.325,0.345
7.7,0.384,0.345,0.345
7.75,0.384,0.355,0.355
7.8,0.374,0.365,0.345
7.85,0.374,0.375,0.345
7.9,0.364,0.375,0.335
7.95,0.374,0.365,0.325
8,0.364,0.375,0.305
8.05,0.364,0.365,0.295
8.1,0.364,0.365,0.295
8.15,0.354,0.355,0.285
8.2,0.354,0.355,0.265
8.25,0.354,0.365,0.255
8.3,0.354,0.375,0.225
8.35,0.354,0.365,0.225
8.4,0.354,0.365,0.215
8.45,0.354,0.355,0.215
8.5,0.344,0.355,0.215
8.55,0.354,0.355,0.215
8.6,0.334,0.365,0.205
8.65,0.334,0.345,0.205
8.7,0.324,0.325,0.205
8.75,0.304,0.285,0.195
8.8,0.284,0.285,0.195
8.85,0.284,0.265,0.185
8.9,0.274,0.265,0.185
8.95,0.274,0.275,0.175
9,0.274,0.265,0.175
9.05,0.274,0.265,0.175
9.1,0.264,0.265,0.175
9.15,0.264,0.265,0.165
9.2,0.254,0.255,0.165
9.25,0.264,0.255,0.165
9.3,0.254,0.245,0.155
9.35,0.254,0.225,0.155
9.4,0.254,0.215,0.155
9.45,0.254,0.185,0.145
9.5,0.204,0.145,0.155
9.55,0.184,0.115,0.145
9.6,0.164,0.095,0.145
9.65,0.154,0.075,0.145
9.7,0.144,0.065,0.145
9.75,0.134,0.055,0.145
9.8,0.134,0.015,0.145
9.85,0.124,0.025,0.135
9.9,0.114,0.015,0.135
9.95,0.084,0.005,0.135
10,-0.066,-0.015,0.125
10.05,-0.116,-0.035,0.125
10.1,-0.156,-0.045,0.125
10.15,-0.166,-0.055,0.115
10.2,-0.196,-0.075,0.115
10.25,-0.216,-0.125,0.115
10.3,-0.236,-0.155,0.115
10.35,-0.246,-0.175,0.115
10.4,-0.266,-0.185,0.115
10.45,-0.266,-0.185,0.125
10.5,-0.286,-0.185,0.115
10.55,-0.286,-0.195,0.125
10.6,-0.296,-0.205,0.125
10.65,-0.306,-0.195,0.125
10.7,-0.336,-0.205,0.115
10.75,-0.356,-0.205,0.115
10.8,-0.386,-0.215,0.115
10.85,-0.386,-0.215,0.115
10.9,-0.406,-0.225,0.115
10.95,-0.416,-0.235,0.095
11,-0.436,-0.235,0.085
11.05,-0.446,-0.225,0.075
11.1,-0.456,-0.235,0.065
11.15,-0.466,-0.245,0.045
11.2,-0.486,-0.245,0.035
11.25,-0.486,-0.245,0.035
11.3,-0.486,-0.245,0.025
11.35,-0.486,-0.265,0.025
11.4,-0.496,-0.245,0.015
11.45,-0.496,-0.265,0.015
11.5,-0.516,-0.245,0.005
11.55,-0.516,-0.265,0.005
11.6,-0.516,-0.265,0.005
11.65,-0.516,-0.275,-0.005
11.7,-0.536,-0.285,-0.015
11.75,-0.546,-0.285,-0.025
11.8,-0.556,-0.285,-0.025
11.85,-0.566,-0.295,-0.045
11.9,-0.586,-0.295,-0.055
11.95,-0.596,-0.305,-0.065
12,-0.596,-0.325,-0.075
12.05,-0.606,-0.345,-0.095
12.1,-0.616,-0.345,-0.105
12.15,-0.616,-0.355,-0.095
12.2,-0.636,-0.375,-0.115
12.25,-0.636,-0.375,-0.125
12.3,-0.646,-0.385,-0.135
12.35,-0.646,-0.395,-0.145
12.4,-0.656,-0.405,-0.145
12.45,-0.666,-0.415,-0.155
12.5,-0.686,-0.435,-0.155
12.55,-0.696,-0.435,-0.155
12.6,-0.716,-0.435,-0.165
12.65,-0.716,-0.435,-0.175
12.7,-0.736,-0.445,-0.185
12.75,-0.746,-0.445,-0.195
12.8,-0.746,-0.455,-0.195
12.85,-0.756,-0.445,-0.195
12.9,-0.776,-0.465,-0.205
12.95,-0.786,-0.465,-0.205
13,-0.796,-0.465,-0.205
13.05,-0.806,-0.465,-0.215
13.1,-0.816,-0.475,-0.215
13.15,-0.826,-0.485,-0.215
13.2,-0.836,-0.485,-0.215
13.25,-0.836,-0.485,-0.225
13.3,-0.846,-0.495,-0.225
13.35,-0.846,-0.495,-0.225
13.4,-0.856,-0.495,-0.235
13.45,-0.856,-0.505,-0.235
13.5,-0.866,-0.505,-0.235
13.55,-0.866,-0.505,-0.235
13.6,-0.886,-0.525,-0.235
13.65,-0.886,-0.535,-0.235
13.7,-0.886,-0.535,-0.235
13.75,-0.886,-0.545,-0.235
13.8,-0.896,-0.555,-0.245
13.85,-0.896,-0.565,-0.245
13.9,-0.896,-0.575,-0.245
13.95,-0.896,-0.585,-0.245
14,-0.896,-0.605,-0.245
14.05,-0.896,-0.635,-0.245
14.1,-0.896,-0.645,-0.245
14.15,-0.896,-0.675,-0.245
14.2,-0.886,-0.695,-0.245
14.25,-0.876,-0.705,-0.245
14.3,-0.786,-0.715,-0.245
14.35,-0.356,-0.715,-0.255
14.4,0.474,-0.725,-0.255
14.45,0.384,-0.725,-0.255
14.5,0.424,-0.715,-0.255
14.55,0.474,-0.185,-0.255
14.6,0.504,0.045,-0.255
14.65,0.534,0.345,-0.255
14.7,0.554,0.495,0.055
14.75,0.554,0.485,0.115
14.8,0.574,0.485,0.365
14.85,0.604,0.535,0.395
14.9,0.634,0.625,0.405
14.95,0.654,0.725,0.495
15,0.684,0.805,0.785
15.05,0.744,0.905,0.835
15.1,0.784,1.055,0.885
15.15,0.824,1.115,0.925
15.2,0.854,1.185,0.965
15.25,0.854,1.235,0.995
15.3,0.874,1.275,1.025
15.35,0.914,1.305,1.045
15.4,0.934,1.335,1.065
15.45,0.964,1.345,1.085
15.5,1.014,1.385,1.115
15.55,1.054,1.415,1.155
15.6,1.094,1.425,1.245
15.65,1.144,1.465,1.305
15.7,1.184,1.515,1.365
15.75,1.214,1.565,1.405
15.8,1.234,1.615,1.435
15.85,1.234,1.665,1.465
15.9,1.234,1.705,1.525
15.95,1.244,1.715,1.595
16,1.234,1.755,1.645
16.05,1.244,1.765,1.685
16.1,1.244,1.795,1.745
16.15,1.254,1.805,1.835
16.2,1.254,1.805,1.935
16.25,1.254,1.805,2.045
16.3,1.264,1.805,2.195
16.35,1.264,1.805,2.355
16.4,1.264,1.815,2.535
16.45,1.284,1.815,2.655
16.5,1.284,1.815,2.685
16.55,1.284,1.825,2.685
16.6,1.294,1.825,2.685
16.65,1.304,1.835,2.675
16.7,1.304,1.855,2.735
16.75,1.304,1.885,3.205
16.8,1.304,1.965,4.185
16.85,1.304,2.155,4.535
16.9,1.304,3.015,4.155
16.95,1.304,3.655,3.695
17,1.304,3.895,3.435
17.05,1.304,3.895,3.355
17.1,1.304,3.625,3.305
17.15,1.304,3.345,3.395
17.2,1.304,3.235,3.685
17.25,1.314,3.515,4.145
17.3,1.394,3.635,4.245
17.35,1.604,3.535,3.875
17.4,1.964,3.325,3.585
17.45,2.874,3.235,3.465
17.5,3.494,3.245,3.615
17.55,3.424,3.165,3.745
17.6,3.114,3.275,3.815
17.65,2.844,3.245,3.715
17.7,2.784,3.285,3.545
17.75,2.844,3.295,3.325
17.8,2.914,3.265,3.165
17.85,2.714,3.015,3.135
17.9,2.554,2.875,3.205
17.95,2.544,2.815,3.165
18,2.694,2.755,3.035
18.05,2.874,2.705,2.895
18.1,2.844,2.645,2.795
18.15,2.934,2.545,2.725
18.2,3.214,2.465,2.655
18.25,3.484,2.435,2.595
18.3,3.554,2.415,2.515
18.35,3.694,2.415,2.445
18.4,3.614,2.445,2.445
18.45,3.174,2.395,2.475
18.5,2.894,2.335,2.395
18.55,2.804,2.285,2.225
18.6,2.884,2.265,2.105
18.65,3.014,2.265,2.085
18.7,3.224,2.235,2.055
18.75,3.364,2.215,1.995
18.8,3.314,2.235,1.925
18.85,3.124,2.265,1.895
18.9,2.994,2.335,1.865
18.95,3.014,2.515,1.855
19,3.034,2.925,1.825
19.05,3.084,3.395,1.805
19.1,3.134,3.565,1.775
19.15,3.144,3.095,1.725
19.2,3.004,2.525,1.635
19.25,2.694,2.235,1.575
19.3,2.444,2.075,1.525
19.35,2.714,2.065,1.515
19.4,3.124,2.255,1.505
19.45,3.474,2.305,1.485
19.5,3.394,2.165,1.455
19.55,3.134,2.145,1.425
19.6,2.794,2.325,1.425
19.65,2.734,2.355,1.405
19.7,2.894,2.275,1.355
19.75,3.134,2.095,1.365
19.8,2.924,1.995,1.415
19.85,2.634,1.915,1.485
19.9,2.454,1.805,1.645
19.95,2.364,1.685,1.755
20,2.314,1.665,1.685
20.05,2.184,1.735,1.525
20.1,2.084,1.795,1.425
20.15,2.064,1.925,1.355
20.2,2.024,1.955,1.285
20.25,2.124,1.895,1.195
20.3,2.314,1.715,1.125
20.35,2.384,1.585,1.085
20.4,2.334,1.575,1.055
20.45,2.184,1.735,1.055
20.5,2.084,2.145,1.075
20.55,2.014,2.195,1.095
20.6,1.954,1.895,1.105
20.65,1.914,1.575,1.105
20.7,1.874,1.465,1.105
20.75,1.864,1.565,1.095
20.8,1.894,1.435,1.045
20.85,1.924,1.225,1.025
20.9,1.894,1.135,1.015
20.95,1.834,1.225,1.015
21,1.774,1.395,1.005
21.05,1.714,1.345,1.005
21.1,1.634,1.525,1.015
21.15,1.714,1.595,1.055
21.2,1.834,1.795,1.125
21.25,1.834,1.725,1.195
21.3,1.754,1.495,1.095
21.35,1.504,1.405,1.045
21.4,1.394,1.275,1.045
21.45,1.144,1.175,1.055
21.5,1.014,1.155,1.045
21.55,0.984,1.125,1.005
21.6,1.004,1.125,0.975
21.65,0.984,1.105,0.965
21.7,0.944,1.065,0.925
21.75,0.874,1.035,0.905
21.8,0.734,0.935,0.875
21.85,0.664,0.865,0.885
21.9,0.654,0.825,0.915
21.95,0.654,0.835,0.885
22,0.684,0.865,0.875
22.05,0.684,0.935,0.845
22.1,0.644,0.925,0.785
22.15,0.584,0.855,0.675
22.2,0.524,0.805,0.645
22.25,0.504,0.775,0.605
22.3,0.464,0.765,0.535
22.35,0.434,0.755,0.495
22.4,0.424,0.745,0.475
22.45,0.424,0.725,0.465
22.5,0.414,0.715,0.435
22.55,0.374,0.685,0.405
22.6,0.304,0.665,0.395
22.65,0.234,0.605,0.385
22.7,0.214,0.495,0.365
22.75,0.194,0.435,0.355
22.8,0.154,0.365,0.355
22.85,0.124,0.315,0.345
22.9,0.104,0.235,0.335
22.95,0.104,0.185,0.325
23,0.094,0.125,0.305